geoid,countyfp,prc_caraccess_final,unreliable_flag
6039000300,39,0.895694135115,0
6039000106,39,0.998462327012,0
6039000108,39,0.951074870274,0
6039000201,39,0.919389978214,0
6039000109,39,0.991001124859,0
6039000604,39,0.842615012107,0
6039000603,39,0.908199018921,0
6039000800,39,0.796106003245,0
6039000900,39,0.889938592348,0
6039000506,39,0.967378410439,0
6039000508,39,0.924985574149,0
6039000102,39,0.966337782937,0
6039000502,39,0.909472212513,0
6039000103,39,0.951973371374,0
6039001000,39,0.98434564809,0
6039000503,39,0.978359511344,0
6039000602,39,0.816470588235,0
6039000104,39,0.964136282128,0
6039000700,39,0.939836149514,0
6039000509,39,1.0,0
6039000507,39,0.919665576154,0
6039000400,39,0.984415584416,0
6039000202,39,0.983825989961,0
