gid,osm_id,code,fclass,name,lon,lat
3419,358773587,2082,school,Rio Tierra Junior High School,-121.4813439,38.6254598
3650,358776145,2082,school,Alethea B Smythe Elementary School,-121.476077,38.6154621
3696,358776650,2082,school,Hazel Strauch Elementary School,-121.4810661,38.6240709
10775,358836070,2082,school,Jefferson Elementary School,-121.5102336,38.6212932
13057,358852229,2082,school,American Justice Institute,-121.5013444,38.6001825
13137,358852396,2082,school,Natomas High School,-121.4952332,38.6285152
24976,843615697,2082,school,Roberts Family Development Center - Twin Rivers,-121.4809062,38.595167
44003,2116536659,2501,supermarket,Bel Air,-121.4964884,38.6118907
93620,5276287053,2501,supermarket,Smart & Final,-121.4770357,38.628318
93636,5276563200,2501,supermarket,99c only store,-121.4769213,38.6092942
2493,358762982,2082,school,Campos Verdes Adult Education Center,-121.3774524,38.6776809
2780,358766331,2082,school,Frederick C Joyce Elementary School,-121.3816192,38.6765699
2906,358767677,2082,school,Oliver Wendall Holmes Elementary School,-121.3702301,38.7004582
3049,358769078,2082,school,Larchmont Elementary School,-121.3718967,38.6843474
3666,358776380,2082,school,Cyril Spinelli Elementary School,-121.3874528,38.7071246
10708,358835728,2082,school,North County Elementary School,-121.3737048,38.7063725
10724,358835808,2082,school,Pacific Career and Technical High School,-121.3757857,38.6776809
13126,358852369,2082,school,Martin's Achievement School,-121.3732856,38.6624035
13564,358858380,2082,school,Maric College - Sacramento,-121.3828649,38.6433382
23592,722634581,2082,school,Wildland Fire Training and Conference Center,-121.387294,38.661295
27884,1131906352,2501,supermarket,FoodMaxx,-121.3940728,38.7158706
73304,4099429533,2402,motel,Mega Inn,-121.3826049,38.6481322
73305,4099429534,2402,motel,Courtyard Inn,-121.384107,38.6470261
73306,4099429535,2402,motel,Red Roof Inn,-121.3835598,38.6430039
73307,4099429536,2402,motel,Surf Motel,-121.3899606,38.6342256
94536,5315598050,2501,supermarket,Walmart Supercenter,-121.38631,38.649823
94592,5315600785,2501,supermarket,Walmart Supercenter,-121.394667,38.712775
2385,358761487,2082,school,Bates Elementary School,-121.5649548,38.3304677
10907,358836932,2082,school,Isleton Elementary School,-121.6091206,38.1613059
13133,358852390,2082,school,Mokelumne High School,-121.5688438,38.3301899
2324,358760721,2082,school,Albert Einstein Middle School,-121.3518958,38.5487954
2421,358761939,2082,school,Choices Charter School,-121.3585628,38.604905
2545,358763597,2082,school,Winston Churchill Middle School,-121.3513405,38.6268489
2582,358764093,2082,school,Cordova Gardens Elementary School,-121.3096726,38.5968498
2583,358764099,2082,school,Cordova Lane Elementary School,-121.2868943,38.6046275
2584,358764103,2082,school,Cordova Meadows Elementary School,-121.3163395,38.5899056
2585,358764105,2082,school,Cordova Villa Elementary School,-121.2985612,38.5796281
2615,358764612,2082,school,Del Dayo Elementary School,-121.3377289,38.5885166
2621,358764634,2082,school,Del Paso Manor Elementary School,-121.3696743,38.6137937
2683,358765237,2082,school,El Camino Fundamental High School,-121.3630074,38.6093493
2703,358765528,2082,school,O W Erlewine Elementary School,-121.3602295,38.567406
2975,358768367,2082,school,Jesuit High School,-121.3510626,38.5862944
3023,358768781,2082,school,Mather Youth Academy,-121.2885608,38.5440736
3148,358770256,2082,school,Marvin Marshall Chidlren's Center,-121.3396735,38.6140716
3156,358770328,2082,school,Mather Heights Elementary School,-121.2774494,38.5440736
3190,358770800,2082,school,Mills Middle School,-121.3038392,38.5987943
3196,358770860,2082,school,Mission Avenue Elementary School,-121.355785,38.6185158
3306,358772215,2082,school,Our Lady of the Assumption School,-121.3468958,38.603794
3373,358773058,2082,school,Our Lady of the Presentation Catholic School,-121.3680075,38.6229602
3385,358773204,2082,school,Rancho Cordova Elementary School,-121.2957834,38.5999054
3430,358773637,2082,school,Riverview Elementary School,-121.2927278,38.6162938
3489,358774214,2082,school,Saint John Vianney School,-121.3013391,38.6032386
