geoid,vbm_rate_asn
6039000300,0.731459439939
6039000106,0.830966385615
6039000108,0.803647457291
6039000201,0.653378390924
6039000109,0.937150317046
6039000604,0.732050139876
6039000603,0.771837221182
6039000800,0.856458291333
6039000900,0.687860525381
6039000506,0.681679116647
6039000508,0.796170489707
6039000102,0.764250577567
6039000502,0.714503787293
6039000103,0.742194339589
6039001000,0.783816213477
6039000503,0.670712893362
6039000602,0.500274848833
6039000104,0.763971834919
6039000700,0.677712218914
6039000509,0.841284766227
6039000507,0.675319719608
6039000400,0.966036441259
6039000202,0.655873519698
