geoid,vbm_rate_tot
6055201601,0.994994163492
6055201602,0.995888580237
6055200302,0.995783097545
6055201003,0.769157343273
6055201007,0.681096339369
6055200707,0.939188248146
6055200505,0.993870081152
6055201004,0.763509048565
6055200301,0.996031476546
6055200804,0.996889945142
6055200705,0.994626287948
6055200704,0.992685543174
6055200803,0.879591551234
6055200602,0.84293846437
6055201006,0.727759981894
6055200601,0.956177784469
6055200706,0.803965580963
6055200504,0.990929873789
6055201102,0.995841054384
6055201300,0.988980395124
6055200900,1.0
6055201800,0.995179601964
6055202000,0.898077777967
6055200201,1.0
6055200203,0.997324700625
6055200202,0.998310607666
6055200501,0.995570429108
6055200503,0.994870734477
6055201900,1.0
6055201500,0.996985847761
6055200703,0.993087093177
6055200400,0.995583112992
6055201700,0.774468289323
6055200802,0.994574348024
6055201402,0.994384499062
6055201403,0.996630235149
6055201101,0.998546879241
6055201005,0.748098758836
6055201401,0.994613111623
6055201200,0.996855762774
