N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
1,3046,,-121.4283565,38.57491198,0.147942108,0.159464197,0.193187141,1.0,1.0,1.0,0.500593446,0.015822785,0.458860759,0.003164557,0.41025641,0.0,0.047468354,0.079113924,0.240506329,0.484177215,0.781318681,0.060126582,0.606441872,0.051705171,0.562700642,0.313493829,0.331438359,0.606441872,0.190115785
4,3044,,-121.4468321,38.57469264,0.222977076,0.231896005,0.266579852,1.0,1.0,1.0,0.721452933,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.401098901,0.107594937,0.610468042,0.680968097,0.519361958,0.362711645,0.369976737,0.610468042,0.221423868
6,3094,,-121.4469731,38.58192472,0.228532525,0.236435356,0.230806563,1.0,1.0,1.0,0.695774444,0.253164557,0.300632911,0.17721519,0.759615385,0.015822785,0.079113924,0.094936709,0.063291139,0.528481013,0.783516484,0.018987342,0.472571716,0.641364136,0.656099518,0.377729271,0.392005622,0.472571716,0.17850417
8,3092,,-121.4654503,38.58170254,0.244140265,0.258741302,0.27208395,1.0,1.0,1.0,0.774965518,0.550632911,0.53164557,0.139240506,0.817307692,0.484177215,0.357594937,0.417721519,0.344936709,0.75,0.921978022,0.373417722,0.28283845,0.883388339,0.0,0.544431956,0.53747398,0.3,0.163329587
9,3091,,-121.4746889,38.5815904,0.101275088,0.12388563,0.114672455,1.0,1.0,1.0,0.339833173,0.550632911,0.53164557,0.139240506,0.817307692,0.484177215,0.357594937,0.417721519,0.344936709,0.75,0.906593407,0.373417722,0.39859084,0.465346535,0.881420546,0.557287466,0.560392856,0.39859084,0.222129679
11,3090,,-121.4839274,38.58147754,0.061321872,0.061785464,0.077025714,0.75,0.25,1.0,0.20013305,0.699367089,0.452531646,0.066455696,0.951923077,0.958860759,0.534810127,0.810126582,0.053797468,0.971518987,0.787912088,0.857594937,0.267740312,0.738173817,0.876304173,0.66539983,0.63972582,0.3,0.199619949
12,3088,,-121.5024044,38.58124973,0.048140196,0.067280918,0.06444452,1.0,1.0,1.0,0.179865634,0.594936709,0.189873418,0.607594937,0.980769231,0.930379747,0.848101266,0.962025316,0.996835443,1.0,0.00989011,0.949367089,0.072974333,0.98239824,0.0,0.615395804,0.583688342,0.3,0.184618741
13,3038,,-121.502258,38.57401771,0.04163976,0.054419954,0.067716621,0.25,0.75,1.0,0.163776335,0.126582278,0.028481013,0.601265823,0.974358974,0.962025316,0.212025316,0.433544304,0.25,0.924050633,0.425274725,0.585443038,0.408152994,0.875687569,0.0,0.420836103,0.390599877,0.408152994,0.171765516
14,3089,,-121.4931659,38.58136399,0.075431686,0.082741233,0.075670093,1.0,1.0,0.75,0.233843013,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.559340659,0.78164557,0.312531454,1.0,0.27633427,0.561040375,0.544474277,0.312531454,0.175342764
21,2991,,-121.4559279,38.56734986,0.171105403,0.188882192,0.200043054,0.25,1.0,1.0,0.56003065,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.635164835,0.132911392,0.393558128,0.943894389,0.631520867,0.475059999,0.47362285,0.393558128,0.186963724
26,2890,,-121.4279391,38.55321574,0.03658683,0.035783528,0.040255662,1.0,1.0,1.0,0.112626019,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.863736264,0.167721519,0.549068948,0.884488449,0.39747191,0.337708474,0.334384095,0.549068948,0.185425237
27,2941,,-121.4373142,38.56033851,0.136722477,0.219248354,0.224310193,0.25,0.25,0.5,0.580281024,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.9,0.167721519,0.401107197,0.845984598,0.427367576,0.40917614,0.411375776,0.401107197,0.164123495
31,2889,,-121.4371742,38.55310645,0.056043795,0.072572191,0.100646138,0.25,0.25,0.25,0.229262123,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.835164835,0.550632911,0.420734776,0.00440044,0.353430979,0.516415219,0.494812686,0.420734776,0.217273842
37,2938,,-121.465022,38.5600064,0.070467864,0.086394971,0.088937306,1.0,1.0,1.0,0.245800142,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.885714286,0.46835443,0.29089079,0.452145215,0.659309791,0.543371079,0.54812708,0.3,0.163011324
39,2937,,-121.4742579,38.55989428,0.180413142,0.200333535,0.17502112,1.0,1.0,1.0,0.555767797,0.376582278,0.310126582,0.401898734,0.278846154,0.702531646,0.338607595,0.430379747,0.547468354,0.946202532,0.903296703,0.588607595,0.195772521,0.842684268,0.0,0.567207441,0.553689403,0.3,0.170162232
41,2987,,-121.4928749,38.56689995,0.078141942,0.129900344,0.141342415,1.0,1.0,1.0,0.3493847,0.455696203,0.126582278,0.775316456,0.576923077,0.424050633,0.806962025,0.591772152,0.863924051,0.96835443,0.845054945,0.832278481,0.140412682,0.97029703,0.958065811,0.702519496,0.709585179,0.3,0.210755849
43,3037,,-121.5114956,38.57390276,0.256146438,0.252669622,0.327324648,1.0,1.0,1.0,0.836140707,0.598101266,0.101265823,0.889240506,0.608974359,0.601265823,0.889240506,0.680379747,0.522151899,0.949367089,0.774725275,0.740506329,0.33467539,0.95489549,0.0,0.638581244,0.632897812,0.33467539,0.213717427
45,2986,,-121.5021116,38.56678571,0.039910756,0.063669376,0.081868957,1.0,1.0,1.0,0.185449089,0.598101266,0.101265823,0.889240506,0.608974359,0.601265823,0.889240506,0.680379747,0.522151899,0.949367089,0.994505495,0.740506329,0.259184701,0.393839384,0.911266051,0.65748771,0.662450575,0.3,0.197246313
46,2934,,-121.5019653,38.55955372,0.075640244,0.093675392,0.094096162,1.0,1.0,1.0,0.263411799,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.645054945,0.227848101,0.363865123,0.572057206,0.271368379,0.530682095,0.533695216,0.363865123,0.193096706
47,2985,,-121.5113483,38.56667077,0.225672798,0.262625045,0.237838917,1.0,1.0,1.0,0.72613676,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.993406593,0.227848101,0.113236034,0.859185919,0.0,0.655482602,0.657512758,0.3,0.196644781
48,2933,,-121.511201,38.55943879,0.09465022,0.136007907,0.289192646,1.0,1.0,1.0,0.519850772,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.993406593,0.227848101,0.113236034,0.859185919,0.956310193,0.666131141,0.687143385,0.3,0.199839342
50,2881,,-121.5110538,38.55220682,0.314546874,0.320372449,0.388445073,1.0,1.0,1.0,1.023364396,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.096703297,0.227848101,0.319073981,0.093509351,0.0,0.528967021,0.530575825,0.319073981,0.168779613
59,2832,,-121.4832047,38.54531747,0.225698737,0.277575824,0.28265771,1.0,1.0,0.25,0.785932271,0.911392405,0.025316456,0.256329114,0.435897436,0.056962025,0.762658228,0.0,0.917721519,0.14556962,0.50989011,0.0,0.60543533,0.0110011,0.271368379,0.360548314,0.403434809,0.60543533,0.218288687
63,2885,,-121.4741142,38.55266227,0.086722987,0.103688797,0.125768581,1.0,1.0,1.0,0.316180365,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.930769231,0.734177215,0.320583795,0.729372937,0.0,0.659483936,0.641483234,0.320583795,0.211419863
64,2833,,-121.4739707,38.54543027,0.109313922,0.110441046,0.120241081,1.0,1.0,1.0,0.339996049,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.930769231,0.734177215,0.320583795,0.729372937,0.0,0.644366468,0.628900457,0.320583795,0.206573447
67,2835,,-121.4555025,38.54565375,0.073706372,0.097326391,0.112300169,1.0,1.0,1.0,0.283332932,0.962025316,0.183544304,0.215189873,0.804487179,0.800632911,0.474683544,0.949367089,0.974683544,0.939873418,0.698901099,0.515822785,0.110719678,0.336633663,0.956711477,0.678112118,0.679741749,0.3,0.203433636
72,2787,,-121.4184277,38.53886019,0.050442504,0.102496254,0.106997783,1.0,1.0,1.0,0.25993654,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.481318681,0.439873418,0.308002013,0.525852585,0.304875602,0.574219242,0.567760306,0.308002013,0.176860683
76,2734,,-121.4182895,38.53162814,0.027111199,0.073172277,0.075630584,0.25,0.25,0.25,0.17591406,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.723076923,0.629746835,0.189733266,0.0110011,0.888292536,0.562456758,0.566992495,0.3,0.168737027
79,2732,,-121.4367543,38.53141034,0.270778574,0.439902235,0.443797987,0.25,1.0,1.0,1.154478795,0.914556962,0.113924051,0.42721519,0.102564103,0.506329114,0.64556962,0.731012658,0.319620253,0.626582278,0.979120879,0.287974684,0.279315551,0.689768977,0.879363965,0.676707361,0.696860862,0.3,0.203012208
82,2677,,-121.4366144,38.52417833,0.0571756,0.061542828,0.119814236,1.0,1.0,1.0,0.238532664,0.803797468,0.525316456,0.819620253,0.108974359,0.924050633,0.939873418,0.879746835,0.762658228,0.870253165,0.67032967,0.981012658,0.208857574,0.744774477,0.788372793,0.760869714,0.747619134,0.3,0.228260914
84,2678,,-121.4273829,38.52428757,0.033923412,0.054633969,0.07568908,1.0,1.0,1.0,0.164246461,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.475824176,0.993670886,0.281831907,0.447744774,0.581861958,0.655956887,0.645472687,0.3,0.196787066
85,2623,,-121.4272439,38.51705555,0.057025194,0.092779444,0.16563612,1.0,1.0,1.0,0.315440758,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.475824176,0.993670886,0.281831907,0.447744774,0.531651284,0.696067425,0.683304381,0.3,0.208820227
86,2624,,-121.4180133,38.51716408,0.189401174,0.187368291,0.214389118,0.25,0.25,0.25,0.591158583,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.258241758,0.993670886,0.099144439,0.193619362,0.544793339,0.648254503,0.643398505,0.3,0.194476351
87,2679,,-121.4181514,38.52439611,0.060415598,0.074221918,0.095797188,1.0,1.0,1.0,0.230434704,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.258241758,0.993670886,0.099144439,0.193619362,0.544793339,0.618194179,0.607326117,0.3,0.185458254
