N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
7,3043,,-121.4560698,38.57458191,0.122449793,0.128789802,0.130313155,1.0,1.0,1.0,0.381552749,0.253164557,0.300632911,0.17721519,0.759615385,0.015822785,0.079113924,0.094936709,0.063291139,0.528481013,0.852747253,0.018987342,0.90437846,0.276127613,0.672050562,0.328511843,0.34273721,0.90437846,0.297099035
15,3040,,-121.4837828,38.57424551,0.070037351,0.081079283,0.086910171,1.0,1.0,1.0,0.238026804,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.404395604,0.78164557,0.462506291,0.97469747,0.409911717,0.57301694,0.554488376,0.462506291,0.26502394
24,2992,,-121.4466911,38.56746057,0.081274744,0.098886547,0.156679179,1.0,1.0,1.0,0.336840471,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.417582418,0.167721519,0.779567187,0.589658966,0.40625,0.32873798,0.320761794,0.779567187,0.256273342
25,2993,,-121.4374543,38.56757058,0.141416864,0.164523725,0.19331035,1.0,1.0,1.0,0.49925094,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.771428571,0.167721519,0.641670861,0.784378438,0.607744783,0.403103475,0.405270702,0.641670861,0.258659753
28,2940,,-121.4465502,38.56022851,0.09680239,0.095732363,0.148519482,0.5,0.25,0.25,0.341054235,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.498901099,0.167721519,0.693507801,0.655665567,0.464787319,0.36243827,0.354151437,0.693507801,0.251353768
38,2886,,-121.4648793,38.55277437,0.216272741,0.247166606,0.265261793,1.0,1.0,1.0,0.728701139,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.841758242,0.46835443,0.461499748,0.258525853,0.709420144,0.544291601,0.562177785,0.461499748,0.251190437
42,2988,,-121.4836382,38.56701348,0.059441067,0.106767053,0.144606248,1.0,1.0,1.0,0.310814367,0.455696203,0.126582278,0.775316456,0.576923077,0.424050633,0.806962025,0.591772152,0.863924051,0.96835443,0.779120879,0.832278481,0.375943634,0.881188119,0.404745185,0.645421466,0.641808308,0.375943634,0.242642091
54,2882,,-121.501819,38.55232174,0.152129583,0.164223984,0.148145285,1.0,1.0,1.0,0.464498852,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.221978022,0.015822785,0.786612984,0.529152915,0.615569823,0.361993471,0.373612746,0.786612984,0.284748765
55,2831,,-121.4924387,38.54520397,0.098102283,0.101111569,0.122219797,1.0,1.0,1.0,0.321433649,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.369230769,0.015822785,0.79265224,0.701870187,0.619231541,0.386175948,0.394984998,0.79265224,0.30610323
62,2884,,-121.4833492,38.55254946,0.250563287,0.267980799,0.265803458,1.0,1.0,1.0,0.784347544,0.363924051,0.196202532,0.338607595,0.147435897,0.025316456,0.481012658,0.234177215,0.46835443,0.664556962,0.992307692,0.113924051,0.61751384,0.02750275,0.0,0.386874455,0.411158211,0.61751384,0.238900331
65,2834,,-121.4647366,38.54554236,0.034175182,0.047580255,0.123154024,1.0,1.0,1.0,0.204909461,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.93956044,0.734177215,0.339708103,0.180418042,0.730286918,0.678421632,0.67505683,0.339708103,0.230465325
68,2836,,-121.4462684,38.54576443,0.067833613,0.101886995,0.098974998,1.0,1.0,1.0,0.268695606,0.829113924,0.772151899,0.392405063,0.810897436,0.174050633,0.487341772,0.389240506,0.091772152,0.620253165,0.353846154,0.262658228,0.651233015,0.435643564,0.41111557,0.399539844,0.390540561,0.651233015,0.260193537
75,2784,,-121.4461275,38.5385324,0.142807793,0.147923177,0.153437379,0.25,1.0,0.25,0.444168349,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.810989011,0.439873418,0.376446905,0.260726073,0.706460674,0.661327241,0.66877425,0.376446905,0.248954593
