geoid,vbm_rate_lat
6057000103,0.7404246138799999
6057000401,0.7347613879539999
6057000900,0.732279642365
6057000701,0.846238408283
6057001206,0.694157663723
6057001204,0.680141559285
6057001205,0.631150983212
6057001203,0.659461907409
6057000102,0.740236269383
6057000802,0.8166225391680001
6057000402,0.650905853351
6057000300,0.8099849168359999
6057000501,0.815040592888
6057000105,0.7875928731470001
6057000502,0.6822800929520001
6057000600,0.710420708327
6057000104,0.811205434032
6057000200,0.788019917637
6057000801,0.812982856352
6057000702,0.7922845412620001
