GEOID,prc_CarAccess_Final
6067000100,0.93530834341
6067000200,0.964224872232
6067000300,0.938814531549
6067000400,0.850543478261
6067000500,0.779063360882
6067000600,0.714776632302
6067000700,0.216165413534
6067000800,0.804511278195
6067001101,0.634375
6067001200,0.667811158798
6067001300,0.866700456158
6067001400,0.676386506575
6067001500,0.935189212701
6067001600,0.949962935508
6067001700,0.833333333333
6067001800,0.862649534781
6067001900,0.807736063709
6067002000,0.753086419753
6067002100,0.804010938924
6067002200,0.774138904574
6067002300,0.97366809553
6067002400,0.91991991992
6067002500,0.985228951256
6067002600,0.896579156722
6067002700,0.815188172043
6067002800,0.799630655586
6067002900,0.918579471633
6067003000,0.954649390244
6067003101,0.932203389831
6067003102,0.911983032874
6067003202,0.854952830189
6067003203,0.91592920354
6067003204,0.878255208333
6067003300,0.960504662644
6067003400,0.880107526882
6067003501,0.878008298755
6067003502,0.948387096774
6067003600,0.944444444444
6067003700,0.844410876133
6067003800,0.915002852253
6067003900,0.958305757776
6067004001,0.915876777251
6067004004,0.953118792213
6067004005,0.898181818182
6067004006,0.955289951306
6067004008,0.971409574468
6067004009,0.955071792497
6067004010,0.912212081704
6067004011,0.88
6067004012,0.994830132939
6067004100,0.765206017005
6067004201,0.913602941176
6067004202,0.890334572491
6067004203,0.863894139887
6067004300,0.949388443695
6067004401,0.8506543495
6067004402,0.812834224599
6067004501,0.889447236181
6067004502,0.776047904192
6067004601,0.853383458647
6067004602,0.862903225806
6067004701,0.785191956124
6067004702,0.855437665782
6067004801,0.955303933254
6067004802,0.869171885873
6067004903,0.883652430044
6067004904,0.967795669073
6067004905,0.77568867512
6067004906,0.966589861751
6067005001,0.957429048414
6067005002,0.882474226804
6067005101,0.957430340557
6067005102,0.939467312349
6067005201,0.880434782609
6067005202,0.967315716273
6067005204,0.909090909091
6067005205,0.840497737557
6067005301,0.571428571429
6067005402,0.815096952909
6067005403,0.966426858513
6067005404,0.961467210078
6067005502,0.864260294865
6067005505,0.813898143741
6067005506,0.877235772358
6067005508,0.841897233202
6067005509,0.924485125858
6067005510,0.827656955273
6067005601,0.831168831169
6067005605,0.938622754491
6067005606,0.942841880342
6067005701,0.955037468776
6067005702,0.957565605807
6067005801,0.947552447552
6067005803,0.962078651685
6067005804,0.937781785392
6067005901,0.954720205041
6067005903,0.939748201439
6067005904,0.922110552764
6067006002,0.847991313789
6067006003,0.838582677165
6067006004,0.952519379845
6067006101,0.915026404225
6067006102,0.750885478158
6067006201,0.792281498297
6067006202,0.897260273973
6067006300,0.84857662023
6067006400,0.904734411085
6067006500,0.804803270312
6067006600,0.74801980198
6067006701,0.93219666931
6067006702,0.885620915033
6067006800,0.78886756238
6067006900,0.786653185035
6067007001,0.86743772242
6067007004,0.931350114416
6067007007,0.935064935065
